name
George Washington
Douglas Adams
Abraham Lincoln
Wolfgang Amadeus Mozart
Ludwig van Beethoven
Jean-François Champollion
Paul Morand
Claude Monet
Diego Velázquez
El Greco
Elvis Presley
Galileo Galilei
Patricio Aylwin
Louis IX of France
Adolf Hitler
Blanche of Castile
Piet Kraak
Augusto Pinochet
Yanka Kupala
František Plánička
Linda Lovelace
Bob Marley
Carl Sagan
Salvador Allende
Denis Diderot
Georges Brassens
Philipp Ludwig von Seidel
Eduardo Frei Montalva
Arthur Rimbaud
"Ulrich Frédéric Woldemar, Comte de Lowendal"
Charles Baudelaire
Stendhal
Émile Zola
Vladimir Vysotsky
Napoleon
Louis Pasteur
Victor Hugo
Giuseppe Garibaldi
Claude Bourgelat
Pierre Poivre
Jorge Alessandri
Carlos Ibáñez del Campo
Luís de Camões
Nicolaus Copernicus
Jean Moulin
Cleopatra
Friedrich Theodor Vischer
André-Marie Ampère
Alessandro Volta
Molière
William Shakespeare
Genghis Khan
Jean Racine
Pierre Corneille
Paul Verlaine
Leonardo da Vinci
Dario Fo
Stéphane Mallarmé
Gabriel Gonzáles Videla
Juan Antonio Rios
Mikhail Bulgakov
Andrei Rublev
Pedro Aguirre Cerda
Arturo Alessandri
François Villon
Andrei Tarkovsky
Joseph Stalin
Juan Luis Sanfuentes
Plato
Joseph Brodsky
Aristotle
Charlie Chaplin
Józef Piłsudski
J. R. R. Tolkien
Franz Kafka
Jorge Luis Borges
Socrates
J. Bernlef
Roald Amundsen
Harry Mulisch
Konstantin Melnikov
Isaac Newton
Albert Einstein
Pedro I of Brazil
John Bardeen
Miles Franklin
John Paul II
Fyodor Dostoyevsky
Andrei Sakharov
Mahatma Gandhi
France Prešeren
Charles Darwin
Carl Linnaeus
Ivan Regen
Italo Balbo
Alessandro Manzoni
Dante Alighieri
Jean-Philippe Rameau
Indira Gandhi
Hector Berlioz
Maurice Ravel
Jean-Baptiste Lully
John Lennon
Hubert Salentin
Carlo Azeglio Ciampi
Oscar Luigi Scalfaro
Francesco Cossiga
Sandro Pertini
Giovanni Leone
Giuseppe Saragat
Antonio Segni
Giovanni Gronchi
Luigi Einaudi
Enrico de Nicola
